early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win
7.2261,0.7606,0.2282,0.2,0.2721,1,0.0,6.8335,0.5906,0.2531,0.6667,0.2176,0,0.2,6.5809,0.5641,0.376,0.2,0.2075,0.0,0.0909,0,GJME4VNOHd9V6unqO-9JzeYaicOX9bYgRdWjfieK1OOc74KNtwfWGmu1bkFkmGpV16SwWudhQ4sarg,BR1_3252837257,16.12,13.147,11.853,10.637,0
6.7857,0.2143,0.1429,0.3333,0.1091,1,0.0,8.5641,0.403,0.3023,0.75,0.4036,0,0.0909,15.0835,1.0056,1.0056,0.0,0.2781,0.0,0.0,0,9rEmrenPzReiqkdf0Xmc41uNacC-zjkx-jfw6OlrKoWGhkg-L_KmlNdce5-o8xblCOKMN1WtO-HbqA,BR1_3252556958,16.12,14.0,9.925,0.994,0
5.4867,0.279,0.279,0.1429,0.0971,0,0.0,8.0643,0.3325,0.2494,0.2,0.083,0,0.2,6.8793,0.4648,0.4648,0.4167,0.1941,0.0,0.375,0,4EG9eIp0ZVMaLXQjSNA6OyNXPz31MMI76GMO9QzZGrkwIQ7-aFe7EWO0nw8AhPCgJy74YhSVXvuI7Q,BR1_3252779374,16.12,10.753,12.028,10.757,0
8.2143,0.2857,0.1429,0.1111,0.1159,0,0.0,8.655,0.2917,0.1945,0.6,0.2821,0,0.0,7.8114,0.0,0.6009,1.0,0.3079,0.0,0.0,0,5KdHm2xBCmdwakKhX8Q3NMQ3oMZR2YU0pjBQzh4nB5w9tcHsiO4R_lA_qTFQRhvPtiw5KXKUhessRg,BR1_3251736535,16.12,14.0,10.283,1.664,0
8.5837,0.3815,0.0,0.2857,0.2558,4,0.0,3.1691,0.2756,0.0,0.1667,0.1149,1,0.0,,,,,,,,0,m80GvtA5xoIu4hmN1V135z3R-gcMn82VUcEzCKplbHB_5JUXOrDZZfnwWRSDzhuxHYFxDpuC_lyalA,BR1_3251466894,16.12,10.485,14.515,-9.775,1
7.0714,0.5,0.3571,0.1667,0.1713,1,0.0,6.5179,0.6518,0.5432,0.125,0.1264,0,0.0,6.0631,0.5512,0.4593,0.2857,0.1173,0.0,0.0769,0,KKjXQQFKjLuDohvmiTnXyFyK7fK8HLzJ5mrxsP-SpmMbB9J9JBeKhJeAjNGFVl6L_abRI9mgYI2knw,BR1_3252724210,16.12,14.0,9.205,10.886,0
5.1429,0.4286,0.1429,0.4615,0.2793,1,0.0,6.0909,0.0,0.2727,0.4706,0.1931,0,0.1818,6.8205,0.0,0.3638,0.5556,0.2121,1.0,0.0769,0,AFtI-T5XibL_owZm_d0uky1R2CZ-cObPct993EP_OFyLNh1Zk7GdNfWxwtFgKIwpW34fVdvsLIObHw,BR1_3250262340,16.11,14.0,11.0,10.996,0
8.5839,0.3637,0.0,0.0833,0.1098,1,0.0,7.9087,0.5332,0.1777,0.3571,0.2325,3,0.0,7.0303,0.5082,0.2541,0.7273,0.2212,1.0,0.2667,0,UFAEfxnhGMV0tmXuI7QfeZpz-nTTxvWS4RFdKhfdHly9FTyYU_5nRoTAD9JsR_BRhyZQOVRPgVGZfw,BR1_3247413834,16.11,13.747,11.253,11.806,0
0.5,0.0714,0.0,0.0,0.3026,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,POLOxsoTyhTTtxWdYcD4n4YsiYgwL5JGlAOkQLkQmIvPAG0AGBvPxBMCgHsf2S0O1KrsYiQ1gSAaiA,BR1_3252650103,16.12,14.0,11.0,-23.445,0
6.5714,0.1429,0.0,0.4118,0.2789,3,0.0,8.2727,0.1818,0.2727,0.5333,0.2533,3,0.0909,6.8493,0.2854,0.1427,1.0,0.2438,0.0,0.1538,0,nK5wt9cb5G1wgRBrKGdE01hud1D_taR8zs7kX0e4PpqKN48PdWPIypYTTmG1r7sFe3LzORTVnY6MhA,BR1_3248733002,16.11,14.0,11.0,7.008,1
