early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,patch,early_duration_min,mid_duration_min,late_duration_min,win,tier
6.7934,0.0849,0.0,0.4545,0.2007,0,0.0,6.6543,0.3169,0.3961,0.9,0.2692,3.0,0.1818,2.1635,0.0,1.0817,1.0,0.4088,1.0,0.1667,0,jPN8rbMKq539MydL_NxtegQRZTNGy9eb5AcYKVVlFMbuncainLfU9fFTeVfHE1qD5aybiACP2h-y3g,BR1_3278331471,16.17,11.776,12.623,1.849,0,DIAMOND
6.786,0.2983,0.0,0.4,0.3352,3,0.25,3.689,0.5825,0.3883,0.2857,0.1077,0.0,0.2,5.4075,0.4506,0.338,0.7,0.2527,1.0,0.4,0,jPN8rbMKq539MydL_NxtegQRZTNGy9eb5AcYKVVlFMbuncainLfU9fFTeVfHE1qD5aybiACP2h-y3g,BR1_3277902165,16.17,13.41,10.301,8.877,0,DIAMOND
6.0,0.3571,0.1429,0.4286,0.1754,0,0.0,7.0909,0.3636,0.2727,0.5556,0.2805,0.0,0.1667,7.443,0.812,0.406,0.2,0.1942,0.0,0.1538,0,jPN8rbMKq539MydL_NxtegQRZTNGy9eb5AcYKVVlFMbuncainLfU9fFTeVfHE1qD5aybiACP2h-y3g,BR1_3277883454,16.17,14.0,11.0,7.39,1,DIAMOND
6.7143,0.2143,0.0714,0.375,0.2537,0,0.0,6.1186,0.0,0.445,0.6,0.1263,0.0,0.1,9.3061,0.0,0.0,0.0,0.0,0.0,0.0,1,vNe67lY_0uGZZz9Z6VgefwvJb50WoAY8F_So1taLkEVbWqfEnGeMdGO-Gpzn8DEQOThti3ptS5rKXg,BR1_3277048340,16.17,14.0,8.989,1.612,0,DIAMOND
6.8248,0.0794,0.1587,0.3,0.2636,2,0.0,4.1072,0.0,0.2567,0.4444,0.2912,1.0,0.1,4.206,0.0,0.3824,0.375,0.1696,0.0,0.4444,1,vNe67lY_0uGZZz9Z6VgefwvJb50WoAY8F_So1taLkEVbWqfEnGeMdGO-Gpzn8DEQOThti3ptS5rKXg,BR1_3276814487,16.17,12.601,7.791,5.231,0,DIAMOND
6.4286,0.1429,0.1429,0.2222,0.2073,1,0.0,8.6725,0.0,0.2551,0.4286,0.2045,0.0,0.1111,3.3149,0.0,0.4875,0.2667,0.2342,1.0,0.1,0,vNe67lY_0uGZZz9Z6VgefwvJb50WoAY8F_So1taLkEVbWqfEnGeMdGO-Gpzn8DEQOThti3ptS5rKXg,BR1_3276094105,16.16,14.0,7.841,10.257,0,DIAMOND
6.3313,0.3088,0.0772,0.2857,0.1621,0,0.0,7.0183,0.0,0.0,0.9333,0.3546,1.0,0.125,5.0798,0.0,0.0,0.5556,0.2817,0.0,0.4286,0,vNe67lY_0uGZZz9Z6VgefwvJb50WoAY8F_So1taLkEVbWqfEnGeMdGO-Gpzn8DEQOThti3ptS5rKXg,BR1_3271416327,16.15,12.952,8.122,2.953,1,DIAMOND
8.5,0.4286,0.0714,0.5,0.1403,0,0.0,7.2364,0.5743,0.3446,0.375,0.1877,1.0,0.375,6.7522,0.6138,0.3683,0.5,0.1907,0.0,0.1,0,K3-KPop7ujyFfBYaDGCuXULCTlkA-uIIFou2_EtyKzB22Y5_TLtMGtm9Y7bqPoTCoey60GcyiI5sng,BR1_3267808339,16.15,14.0,8.706,8.146,0,DIAMOND
8.2143,0.2857,0.0,0.3333,0.1467,1,0.2,6.6364,0.3636,0.0909,0.7143,0.2206,0.0,0.2222,3.9126,0.2059,0.0,0.75,0.1628,0.0,0.1667,0,K3-KPop7ujyFfBYaDGCuXULCTlkA-uIIFou2_EtyKzB22Y5_TLtMGtm9Y7bqPoTCoey60GcyiI5sng,BR1_3267791355,16.15,14.0,11.0,4.856,1,DIAMOND
7.8701,0.1852,0.0,0.1667,0.1964,2,0.0,7.2533,0.1116,0.1116,0.4783,0.1739,0.0,0.0588,,,,,,,,0,t1K26evXXaoqc46ZEbN2LzsrQSzxpoi79HGrgB0sf2Vv-xRa9NEyxTSRS1G4n40l4RFFVtrgG7cqKg,BR1_3278779312,16.17,10.8,8.961,0.0,1,DIAMOND
6.7639,0.072,0.3598,0.1667,0.1938,0,0.0,8.9629,0.4372,0.4372,0.125,0.1576,1.0,0.0,10.6936,0.4395,0.1465,0.3846,0.1972,0.0,0.2,0,t1K26evXXaoqc46ZEbN2LzsrQSzxpoi79HGrgB0sf2Vv-xRa9NEyxTSRS1G4n40l4RFFVtrgG7cqKg,BR1_3271389460,16.15,13.897,9.149,6.827,0,DIAMOND
6.7143,0.4286,0.2143,0.1429,0.1882,1,0.0,7.6969,0.0,0.5632,0.0,0.2902,0.0,0.0,,,,,,,,0,llgFETB2Cx4HUYq4nQJPrGSY2bLlq6E_f2X4nZ_SKR4pkhJKMswEaX7dBJmAeqVKf6hhkcOPEcOUCg,BR1_3278591722,16.17,14.0,5.327,0.0,0,DIAMOND
6.8571,0.2857,0.1429,0.5,0.2268,0,0.0,6.1485,0.3967,0.3967,0.3333,0.2328,0.0,0.0,2.9505,0.4215,0.4215,0.0,0.1519,0.0,0.0,0,llgFETB2Cx4HUYq4nQJPrGSY2bLlq6E_f2X4nZ_SKR4pkhJKMswEaX7dBJmAeqVKf6hhkcOPEcOUCg,BR1_3278575978,16.17,14.0,10.084,2.372,0,DIAMOND
