"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TQWIV4EE","conferencePaper","2017","Lundberg, Scott M.; Lee, Su-In","A unified approach to interpreting model predictions","Adv. neural inf. proces. syst.","","","","","Understanding why a model makes a certain prediction can be as crucial as the prediction's accuracy in many applications. However, the highest accuracy for large modern datasets is often achieved by complex models that even experts struggle to interpret, such as ensemble or deep learning models, creating a tension between accuracy and interpretability. In response, various methods have recently been proposed to help users interpret the predictions of complex models, but it is often unclear how these methods are related and when one method is preferable over another. To address this problem, we present a unified framework for interpreting predictions, SHAP (SHapley Additive exPlanations). SHAP assigns each feature an importance value for a particular prediction. Its novel components include: (1) the identification of a new class of additive feature importance measures, and (2) theoretical results showing there is a unique solution in this class with a set of desirable properties. The new class unifies six existing methods, notable because several recent methods in the class lack the proposed desirable properties. Based on insights from this unification, we present new methods that show improved computational performance and/or better consistency with human intuition than previous approaches. © 2017 Neural information processing systems foundation. All rights reserved.","2017","2026-06-20 20:30:28","2026-06-20 20:30:28","","4766-4775","","","2017-December","","","","","","","","Neural information processing systems foundation","","English","","","","","Scopus","","Journal Abbreviation: Adv. neural inf. proces. syst.","<div data-schema-version=""9""><p>Core Paper: Original SHAPS paper</p> </div>","C:\Users\paulo\Zotero\storage\BPYEVLTM\85044542379.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Advances in Neural Information Processing Systems","","","","","","","","","","","","","","",""
"FCN25JYK","journalArticle","2020","Lundberg, Scott M.; Erion, Gabriel; Chen, Hugh; DeGrave, Alex; Prutkin, Jordan M.; Nair, Bala; Katz, Ronit; Himmelfarb, Jonathan; Bansal, Nisha; Lee, Su-In","From local explanations to global understanding with explainable AI for trees","Nature Machine Intelligence","","2522-5839","10.1038/s42256-019-0138-9","","Tree-based machine learning models such as random forests, decision trees and gradient boosted trees are popular nonlinear predictive models, yet comparatively little attention has been paid to explaining their predictions. Here we improve the interpretability of tree-based models through three main contributions. (1) A polynomial time algorithm to compute optimal explanations based on game theory. (2) A new type of explanation that directly measures local feature interaction effects. (3) A new set of tools for understanding global model structure based on combining many local explanations of each prediction. We apply these tools to three medical machine learning problems and show how combining many high-quality local explanations allows us to represent global structure while retaining local faithfulness to the original model. These tools enable us to (1) identify high-magnitude but low-frequency nonlinear mortality risk factors in the US population, (2) highlight distinct population subgroups with shared risk characteristics, (3) identify nonlinear interaction effects among risk factors for chronic kidney disease and (4) monitor a machine learning model deployed in a hospital by identifying which features are degrading the model’s performance over time. Given the popularity of tree-based machine learning models, these improvements to their interpretability have implications across a broad set of domains. © 2020, The Author(s), under exclusive licence to Springer Nature Limited.","2020","2026-06-20 20:37:25","2026-06-20 20:37:25","","56-67","","1","2","","Nat. Mach. Intell.","","","","","","Nature Research","","English","","","","","Scopus","","","<div data-schema-version=""9""><p>Core Paper: Original SHAPS expansion for trees</p> </div>","C:\Users\paulo\Zotero\storage\7HNEXGSF\85133604939.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EIZGSVCX","bookSection","2016","Shapley, L. S.","17. A Value for n-Person Games","Contributions to the Theory of Games, Volume II","978-1-4008-8197-0","","","https://www.degruyterbrill.com/document/doi/10.1515/9781400881970-018/html?lang=en","17. A Value for n-Person Games was published in Contributions to the Theory of Games, Volume II on page 307.","2016-06-06","2026-06-20 20:51:16","2026-06-20 20:51:16","2026-06-20 20:51:16","307-318","","","","","","","","","","","Princeton University Press","","en","De Gruyter expressly reserves the right to use all content for commercial text and data mining within the meaning of Section 44b of the German Copyright Act.","","","","www.degruyterbrill.com","","Section: Contributions to the Theory of Games, Volume II","<div data-schema-version=""9""><p>Core Paper: Grounding for SHAPS - Original Shapley (1953)</p> </div>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5CLAVFC8","conferencePaper","2016","Chen, Tianqi; Guestrin, Carlos","XGBoost: A scalable tree boosting system","Proc. ACM SIGKDD Int. Conf. Knowl. Discov. Data Min.","978-1-4503-4232-2","","10.1145/2939672.2939785","","Tree boosting is a highly effective and widely used machine learning method. In this paper, we describe a scalable endto-end tree boosting system called XGBoost, which is used widely by data scientists to achieve state-of-the-art results on many machine learning challenges. We propose a novel sparsity-aware algorithm for sparse data and weighted quantile sketch for approximate tree learning. More importantly, we provide insights on cache access patterns, data compression and sharding to build a scalable tree boosting system. By combining these insights, XGBoost scales beyond billions of examples using far fewer resources than existing systems. © 2016 ACM.","2016","2026-06-20 20:53:14","2026-06-20 20:53:14","","785-794","","","13-17-August-2016","","","XGBoost","","","","","Association for Computing Machinery","","English","","","","","Scopus","","Journal Abbreviation: Proc. ACM SIGKDD Int. Conf. Knowl. Discov. Data Min.","<div data-schema-version=""9""><p>Core paper: Grounding for XGBoost</p> <p></p> </div>","C:\Users\paulo\Zotero\storage\ZD7A2IPE\84984950690.html; C:\Users\paulo\Zotero\storage\7LW352PV\Chen e Guestrin - 2016 - XGBoost A scalable tree boosting system.pdf","","","Large-scale Machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining","","","","","","","","","","","","","","",""
"IZ6ZWA9Y","journalArticle","2021","Maymin, Philip Z.","Smart kills and worthless deaths: ESports analytics for League of Legends","Journal of Quantitative Analysis in Sports","","1559-0410","10.1515/jqas-2019-0096","","Vast data on eSports should be easily accessible but often is not. League of Legends (LoL) only has rudimentary statistics such as levels, items, gold, and deaths. We present a new way to capture more useful data. We track every champion's location multiple times every second. We track every ability cast and attack made, all damages caused and avoided, vision, health, mana, and cooldowns. We track continuously, invisibly, remotely, and live. Using a combination of computer vision, dynamic client hooks, machine learning, visualization, logistic regression, large-scale cloud computing, and fast and frugal trees, we generate this new high-frequency data on millions of ranked LoL games, calibrate an in-game win probability model, develop enhanced definitions for standard metrics, introduce dozens more advanced metrics, automate player improvement analysis, and apply a new player-evaluation framework on the basic and advanced stats. How much does an individual contribute to a team's performance? We find that individual actions conditioned on changes to estimated win probability correlate almost perfectly to team performance: regular kills and deaths do not nearly explain as much as smart kills and worthless deaths. Our approach offers applications for other eSports and traditional sports. All the code is open-sourced.  © 2020 Philip Z. Maymin, published by De Gruyter, Berlin/Boston 2020.","2021","2026-06-20 20:55:46","2026-06-20 20:55:46","","11-27","","1","17","","J. Quant. Anal. Sports","Smart kills and worthless deaths","","","","","De Gruyter Open Ltd","","English","","","","","Scopus","","","<div data-schema-version=""9""><p>Critical Paper: Maymin</p> <p></p> </div>","C:\Users\paulo\Zotero\storage\ACIA7AHW\85099635469.html","","","analytics; eSports; League of Legends; machine learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QZW3TMT6","conferencePaper","2023","Junior, Jailson B. S.; Campelo, Claudio E. C.","League of Legends: Real-Time Result Prediction","Anais do XVI Congresso Brasileiro de Inteligência Computacional","","","10.21528/CBIC2023-161","http://arxiv.org/abs/2309.02449","This paper presents a study on the prediction of outcomes in matches of the electronic game League of Legends (LoL) using machine learning techniques. With the aim of exploring the ability to predict real-time results, considering different variables and stages of the match, we highlight the use of unpublished data as a fundamental part of this process. With the increasing popularity of LoL and the emergence of tournaments, betting related to the game has also emerged, making the investigation in this area even more relevant. A variety of models were evaluated and the results were encouraging. A model based on LightGBM showed the best performance, achieving an average accuracy of 81.62\% in intermediate stages of the match when the percentage of elapsed time was between 60\% and 80\%. On the other hand, the Logistic Regression and Gradient Boosting models proved to be more effective in early stages of the game, with promising results. This study contributes to the field of machine learning applied to electronic games, providing valuable insights into real-time prediction in League of Legends. The results obtained may be relevant for both players seeking to improve their strategies and the betting industry related to the game.","2023-12-31","2026-06-20 20:57:48","2026-06-20 20:57:48","2026-06-20 20:57:48","1-8","","","","","","League of Legends","","","","","","","","","","","","arXiv.org","","arXiv:2309.02449 [cs.LG]","Comment: 8 pages","C:\Users\paulo\Zotero\storage\G9P98S27\Junior e Campelo - 2023 - League of Legends Real-Time Result Prediction.pdf; C:\Users\paulo\Zotero\storage\424PTCU2\2309.html","","","Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6J58M53H","conferencePaper","2026","Aonon, Manaschai; Samrankhong, Ponguthai; Kamnardsiri, Teerawat","Strategic Feature Selection for Draft Prediction in League of Legends","Int. Conf. Digit. Arts, Media Technol. ECTI North. Sect. Conf. Electr., Electron., Comput. Telecommun. Eng., ECTI DAMT NCON","979-8-3315-7635-6","","10.1109/ECTIDAMTNCON67592.2026.11460094","","Draft phase decisions significantly influence match outcomes in MOBA games, yet optimal champion selection requires extensive strategic knowledge. We present a machine learning framework as a data-driven innovation strategy for League of Legends draft prediction through systematic feature engineering and algorithm evaluation. Using 86,556 high-level matches, we engineered 156 strategic features across eight categories: Meta, Synergy, Matchup, Bans, Picks, Runes, Strategic, Spells. Through evaluation of 20 algorithms, we identify LightGBM as optimal, achieving 83.1% test accuracy with 92.2% ROC-AUC and minimal generalization gap (0.27%). Feature importance analysis reveals that meta strength (26.3%), team synergy (24.8%), and counter-matchups (20.6%) dominate draft success, while rune and spell selections contribute minimally (6.7% combined). This work establishes empirical benchmarks for draft prediction and provides reproducible methodology for competitive gaming analytics, supporting economic growth and development in the digital sports sector. © 2026 IEEE.","2026","2026-06-20 23:58:02","2026-06-20 23:58:02","","48-53","","","","","","","","","","","Institute of Electrical and Electronics Engineers Inc.","","English","","","","","Scopus","","Journal Abbreviation: Int. Conf. Digit. Arts, Media Technol. ECTI North. Sect. Conf. Electr., Electron., Comput. Telecommun. Eng., ECTI DAMT NCON","<div data-schema-version=""9""><p>Similar mechanics, different ballpark - good parallel</p> </div>","","","","League of Legends; draft prediction; esports analytics; feature selection; gradient boosting; MOBA games","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11th International Conference on Digital Arts, Media and Technology and 9th ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering, ECTI DAMT and NCON 2026","","","","","","","","","","","","","","",""
"E4UT5P3B","preprint","2017","Chen, Zhengxing; Sun, Yizhou; El-nasr, Magy Seif; Nguyen, Truong-Huy D.","Player Skill Decomposition in Multiplayer Online Battle Arenas","","","","10.48550/arXiv.1702.06253","http://arxiv.org/abs/1702.06253","Successful analysis of player skills in video games has important impacts on the process of enhancing player experience without undermining their continuous skill development. Moreover, player skill analysis becomes more intriguing in team-based video games because such form of study can help discover useful factors in effective team formation. In this paper, we consider the problem of skill decomposition in MOBA (MultiPlayer Online Battle Arena) games, with the goal to understand what player skill factors are essential for the outcome of a game match. To understand the construct of MOBA player skills, we utilize various skill-based predictive models to decompose player skills into interpretative parts, the impact of which are assessed in statistical terms. We apply this analysis approach on two widely known MOBAs, namely League of Legends (LoL) and Defense of the Ancients 2 (DOTA2). The finding is that base skills of in-game avatars, base skills of players, and players' champion-specific skills are three prominent skill components influencing LoL's match outcomes, while those of DOTA2 are mainly impacted by in-game avatars' base skills but not much by the other two.","2017-02-21","2026-06-21 00:03:38","2026-06-21 00:03:38","2026-06-21 00:03:38","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:1702.06253 [cs.SI]","Comment: 2016 Meaningful Play Conference","C:\Users\paulo\Zotero\storage\YG24R3RX\Chen et al. - 2017 - Player Skill Decomposition in Multiplayer Online Battle Arenas.pdf; C:\Users\paulo\Zotero\storage\GZN8GUU9\1702.html","","","Computer Science - Artificial Intelligence; Computer Science - Human-Computer Interaction; Computer Science - Multiagent Systems; Computer Science - Social and Information Networks","","","","","","","","","","","","","","","","","","","arXiv:1702.06253","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4LGEDEA6","journalArticle","2022","Rijnders, Frans; Wallner, Günter; Bernhaupt, Regina","Live Feedback for Training Through Real-Time Data Visualizations: A Study with League of Legends","Proceedings of the ACM on Human-Computer Interaction","","2573-0142","10.1145/3549506","","With competitive gaming on the rise, players have developed an increased interest in data-driven feedback of their in-game performance. In many cases, this feedback is presented visually post-play but live companions that provide real-time analytics are gaining more and more attention. However, the design of such systems poses different requirements which have been little explored from a scholarly point of view. In this paper, we report on a study of two visualizations - a physical and digital one - providing live feedback to League of Legends players designed based on a community survey (N= 175) and expert input. We further discuss results of a qualitative evaluation with 13 players and an expert, touch upon potential benefits and drawbacks of physical and digital implementations, and present derived design considerations and challenges for such real-time data visualizations, revolving around issues of information density, contextualization, representation, and a diverse range of user needs.  © 2022 ACM.","2022","2026-06-21 14:31:47","2026-06-21 14:31:47","","","","","6","","Proc. ACM Hum. Comput. Interact.","Live Feedback for Training Through Real-Time Data Visualizations","","","","","Association for Computing Machinery","","English","","","","","Scopus","","","","","","","data physicalization; gameplay visualization; training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RCGH49ME","journalArticle","2005","MacLennan, Tom","Moneyball: The Art of Winning an Unfair Game","The Journal of Popular Culture","","1540-5931","10.1111/j.0022-3840.2005.140_11.x","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0022-3840.2005.140_11.x","","2005","2026-06-21 15:40:13","2026-06-21 15:40:13","2026-06-21 15:40:13","780-781","","4","38","","","Moneyball","","","","","","","en","","","","","Wiley Online Library","","_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.0022-3840.2005.140_11.x","<div data-schema-version=""9""><p>Core Paper: the foundation of sports analytics</p> <p></p> </div>","C:\Users\paulo\Zotero\storage\8PWXDFDL\j.0022-3840.2005.140_11.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
