early_cs_per_min,early_vision_per_min,early_deaths_per_min,early_kill_participation,early_damage_share,early_solo_kills,early_objective_proximity,mid_cs_per_min,mid_vision_per_min,mid_deaths_per_min,mid_kill_participation,mid_damage_share,mid_solo_kills,mid_objective_proximity,late_cs_per_min,late_vision_per_min,late_deaths_per_min,late_kill_participation,late_damage_share,late_solo_kills,late_objective_proximity,early_first_blood_involved,puuid,match_id,early_duration_min,mid_duration_min,late_duration_min,win
8.002,0.0,0.0727,0.0,0.1397,0,0.0,8.1753,0.0,0.1777,0.2,0.1653,0,0.1,5.9292,0.0,0.1694,0.3684,0.1495,0.0,0.0667,0,GCK12iqiY9OFiO69zdHaYz3fuGr7nWjt7yswjkfQumQ6NMU6bymU4dZZeaOw0Hzhww2qb_kBLugiZA,BR1_3247413834,13.747,11.253,11.806,1
8.7363,0.0,0.1574,0.0625,0.1422,0,0.0,6.263,0.0,0.3254,0.3,0.2348,2,0.0,5.0251,0.0,0.5583,0.0,0.2175,0.0,0.5,0,5KdHm2xBCmdwakKhX8Q3NMQ3oMZR2YU0pjBQzh4nB5w9tcHsiO4R_lA_qTFQRhvPtiw5KXKUhessRg,BR1_3252828426,12.706,12.294,1.791,1
0.4286,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,5KdHm2xBCmdwakKhX8Q3NMQ3oMZR2YU0pjBQzh4nB5w9tcHsiO4R_lA_qTFQRhvPtiw5KXKUhessRg,BR1_3252825550,14.0,11.0,-23.453,0
5.7857,0.0,0.2857,0.3333,0.2844,3,0.0,6.3636,0.0,0.2727,0.375,0.2672,0,0.1,4.826,0.0,0.254,0.2,0.2597,0.0,0.2857,0,5KdHm2xBCmdwakKhX8Q3NMQ3oMZR2YU0pjBQzh4nB5w9tcHsiO4R_lA_qTFQRhvPtiw5KXKUhessRg,BR1_3252818300,14.0,11.0,3.937,1
6.9286,0.0,0.1429,0.0,0.12,0,0.0,11.2604,0.0,0.0962,0.3636,0.2212,1,0.0,7.9208,0.0,0.4659,0.3636,0.197,0.0,0.25,0,5KdHm2xBCmdwakKhX8Q3NMQ3oMZR2YU0pjBQzh4nB5w9tcHsiO4R_lA_qTFQRhvPtiw5KXKUhessRg,BR1_3251745933,14.0,10.39,10.731,0
8.2143,0.0,0.1429,0.1111,0.1159,0,0.0,8.655,0.0,0.1945,0.6,0.2821,0,0.0,7.8114,0.0,0.6009,1.0,0.3079,0.0,0.0,0,5KdHm2xBCmdwakKhX8Q3NMQ3oMZR2YU0pjBQzh4nB5w9tcHsiO4R_lA_qTFQRhvPtiw5KXKUhessRg,BR1_3251736535,14.0,10.283,1.664,0
0.0,0.0,0.0,0.0,0.0,0,,0.0,0.0,0.0,0.0,,0,,,,,,,,,0,5RcEVGxu00ZyqOJuTlRLoTcCPvdzWqn5n42PyDFaXGizjGaedXIQziIxCrF6kqBZjbu8nm2DpLsB9A,BR1_3250260141,14.0,11.0,-23.878,1
8.2455,0.0,0.073,0.3,0.2105,1,0.0,8.3218,0.0,0.3541,0.625,0.2832,2,0.0,5.1365,0.0,0.3584,0.3913,0.198,1.0,0.2,0,5RcEVGxu00ZyqOJuTlRLoTcCPvdzWqn5n42PyDFaXGizjGaedXIQziIxCrF6kqBZjbu8nm2DpLsB9A,BR1_3248825971,13.704,11.296,16.743,0
7.2857,0.0,0.0714,0.125,0.1221,0,0.0,2.5455,0.0,0.0909,0.0,0.1571,0,,,,,,,,,0,b_p7lsrKf2mFmuGVTOh8hi6vXbXsZxE1zsxXAMJRxBlNNTf69Kksu1hCwKWZTJ6QssYus0ylp6vymw,BR1_3250837536,14.0,11.0,-8.006,0
7.5871,0.0,0.0872,0.0,0.1832,0,0.0,7.2557,0.0,0.2502,0.2273,0.1686,1,0.0833,5.6576,0.0,0.4526,0.3333,0.0976,0.0,0.2222,0,b_p7lsrKf2mFmuGVTOh8hi6vXbXsZxE1zsxXAMJRxBlNNTf69Kksu1hCwKWZTJ6QssYus0ylp6vymw,BR1_3250825044,11.467,11.991,13.257,0
5.1898,0.0,0.3295,0.25,0.3255,1,0.0,3.3435,0.0,0.2333,0.2,0.1943,0,0.2,,,,,,,,0,b_p7lsrKf2mFmuGVTOh8hi6vXbXsZxE1zsxXAMJRxBlNNTf69Kksu1hCwKWZTJ6QssYus0ylp6vymw,BR1_3250604256,12.139,12.861,-3.547,0
5.8466,0.0,0.3439,0.4,0.3623,1,0.0,8.8548,0.0,0.2985,0.4286,0.1686,1,0.0833,9.4028,0.0,0.4949,0.5,0.3175,0.0,0.1,0,f_sKjC_jT_uVFmw_P9yYuS3xiURzydAf5BgIWs_5loxMiVzq0UgK2PV2NWO_g-B73m9B6IW-kAAeQw,BR1_3252565677,11.631,10.051,4.041,0
6.3333,0.0,0.1689,0.3077,0.1876,2,0.0,5.244,0.0,0.228,0.5,0.3121,4,0.125,,,,,,,,0,f_sKjC_jT_uVFmw_P9yYuS3xiURzydAf5BgIWs_5loxMiVzq0UgK2PV2NWO_g-B73m9B6IW-kAAeQw,BR1_3252557564,11.842,13.158,-3.864,1
2.5,0.0,0.5,0.3889,0.2554,4,0.0,5.9025,0.0,0.3162,0.32,0.2208,1,0.0,6.6379,0.0,0.3688,0.5,0.1658,0.0,0.0,0,f_sKjC_jT_uVFmw_P9yYuS3xiURzydAf5BgIWs_5loxMiVzq0UgK2PV2NWO_g-B73m9B6IW-kAAeQw,BR1_3252548340,14.0,9.487,2.712,1
5.0691,0.0,0.3218,0.4286,0.2702,3,0.0,6.4575,0.0,0.2654,0.25,0.168,0,0.0,5.4745,0.0,0.476,0.2857,0.1304,1.0,0.0,0,f_sKjC_jT_uVFmw_P9yYuS3xiURzydAf5BgIWs_5loxMiVzq0UgK2PV2NWO_g-B73m9B6IW-kAAeQw,BR1_3252537877,12.428,11.305,8.403,1
6.7143,0.0,0.4286,0.3,0.2022,1,0.0,9.1012,0.0,0.123,0.6364,0.1984,1,0.1111,6.2353,0.0,0.4949,0.5714,0.202,1.0,0.0714,0,Q4m0CXBC6QUdhnnMuYRhIyPBvgPzxYfIizD3NgRshN5FfrXvXk2RxMkd_3bEkLzNd_Rrl9QCw7CdEA,BR1_3252362404,14.0,8.131,10.104,0
5.5555,0.0,0.3704,0.1176,0.1785,0,0.0,6.5218,0.0,0.3478,0.1905,0.1105,0,0.1538,7.241,0.0,0.3017,0.4286,0.1171,0.0,0.2,0,Q4m0CXBC6QUdhnnMuYRhIyPBvgPzxYfIizD3NgRshN5FfrXvXk2RxMkd_3bEkLzNd_Rrl9QCw7CdEA,BR1_3252335491,13.5,11.5,6.629,1
6.2857,0.0,0.2857,0.5714,0.2531,1,0.5,7.0909,0.0,0.3636,0.4167,0.3045,3,0.2857,7.4103,0.0,0.3069,0.6333,0.3008,1.0,0.1379,1,Q4m0CXBC6QUdhnnMuYRhIyPBvgPzxYfIizD3NgRshN5FfrXvXk2RxMkd_3bEkLzNd_Rrl9QCw7CdEA,BR1_3252233091,14.0,11.0,22.806,1
