minute,target_gold,opp_gold,gold_diff,xp_diff,cs_diff,gold_diff_variation
0,500,500,0,0,0,0.0
1,500,500,0,0,0,0.0
2,715,797,-82,-155,-5,-82.0
3,967,1100,-133,0,-5,-51.0
4,1269,1469,-200,-248,-9,-67.0
5,1583,1654,-71,-62,0,129.0
6,1899,2019,-120,-124,-2,-49.0
7,2239,2278,-39,0,1,81.0
8,2563,2958,-395,-537,-2,-356.0
9,3006,3160,-154,-479,-2,241.0
10,3316,3456,-140,-833,-8,14.0
11,3658,3706,-48,-572,-4,92.0
12,3951,4064,-113,-634,-8,-65.0
13,4528,4289,239,386,-2,352.0
14,4826,4680,146,-199,2,-93.0
15,5580,4938,642,835,7,496.0
16,5823,5410,413,1223,12,-229.0
17,6180,5983,197,1194,15,-216.0
18,6732,6724,8,511,15,-189.0
19,7102,7401,-299,372,16,-307.0
20,7570,7880,-310,337,13,-11.0
21,7981,8126,-145,176,15,165.0
22,8518,8359,159,1132,31,304.0
23,9619,9304,315,385,32,156.0
24,9742,9868,-126,-411,21,-441.0
25,10128,10326,-198,-496,20,-72.0
26,10275,11254,-979,-1715,12,-781.0
27,10561,11815,-1254,-1987,8,-275.0
28,10759,11938,-1179,-1593,13,75.0
29,11060,12060,-1000,-842,24,179.0
30,11264,12399,-1135,-1245,19,-135.0
31,12473,12859,-386,-315,19,749.0
32,12991,12981,10,648,34,396.0
33,13141,13549,-408,-405,19,-418.0
34,13434,14588,-1154,-191,14,-746.0
35,13676,14710,-1034,112,18,120.0
36,13895,15237,-1342,-1057,18,-308.0
37,14222,15450,-1228,-748,24,114.0
38,15004,16320,-1316,-1409,20,-88.0
