minute,result,target_gold,target_xp,target_cs,target_kills,target_deaths,opp_gold,opp_xp,opp_cs,opp_kills,opp_deaths,gold_diff,xp_diff,cs_diff,gold_diff_variation,xp_diff_variation,cs_diff_variation,gold_diff_delta,xp_diff_delta,cs_diff_delta
0,Derrota,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Derrota,500.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Derrota,752.0,333.25,8.0,0.0,0.0,786.12,357.0,9.75,0.0,0.0,-34.12,-23.75,-1.75,-34.12,-23.75,-1.75,-34.12,-23.75,-1.75
3,Derrota,1007.12,760.38,14.75,0.0,0.0,1104.5,744.75,19.0,0.0,0.12,-97.38,15.62,-4.25,-63.25,39.38,-2.5,-63.25,39.38,-2.5
4,Derrota,1238.5,1060.62,20.38,0.0,0.12,1432.75,1135.12,28.0,0.0,0.12,-194.25,-74.5,-7.62,-96.88,-90.12,-3.38,-96.88,-90.12,-3.38
5,Derrota,1479.75,1385.75,27.5,0.0,0.12,1679.25,1418.12,35.25,0.0,0.12,-199.5,-32.38,-7.75,-5.25,42.12,-0.12,-5.25,42.12,-0.12
6,Derrota,1810.25,1777.88,35.5,0.12,0.12,2033.12,1817.5,43.62,0.12,0.25,-222.88,-39.62,-8.12,-23.38,-7.25,-0.38,-23.38,-7.25,-0.38
7,Derrota,2219.38,2113.12,41.0,0.62,0.38,2421.62,2183.12,51.25,0.38,0.62,-202.25,-70.0,-10.25,20.62,-30.38,-2.12,20.62,-30.38,-2.12
8,Derrota,2496.12,2439.25,46.62,0.75,0.5,2742.0,2521.88,59.25,0.5,0.75,-245.88,-82.62,-12.62,-43.62,-12.62,-2.38,-43.62,-12.62,-2.38
9,Derrota,2759.5,2759.88,52.5,0.75,0.62,3163.5,2889.12,68.25,0.75,0.88,-404.0,-129.25,-15.75,-158.12,-46.62,-3.12,-158.12,-46.62,-3.12
10,Derrota,3033.88,3039.38,58.38,0.75,0.88,3607.5,3287.0,76.62,1.0,1.12,-573.62,-247.62,-18.25,-169.62,-118.38,-2.5,-169.62,-118.38,-2.5
11,Derrota,3318.38,3392.5,65.5,0.88,1.12,3917.12,3545.75,81.88,1.12,1.5,-598.75,-153.25,-16.38,-25.12,94.38,1.88,-25.12,94.38,1.88
12,Derrota,3571.5,3711.0,71.25,0.88,1.38,4413.0,3986.25,89.38,1.25,1.62,-841.5,-275.25,-18.12,-242.75,-122.0,-1.75,-242.75,-122.0,-1.75
13,Derrota,3882.12,4081.38,80.5,0.88,1.62,5112.25,4505.62,98.75,1.75,1.62,-1230.12,-424.25,-18.25,-388.62,-149.0,-0.12,-388.62,-149.0,-0.12
14,Derrota,4215.88,4437.88,85.25,1.12,1.88,5663.38,4848.12,103.38,2.12,2.0,-1447.5,-410.25,-18.12,-217.38,14.0,0.12,-217.38,14.0,0.12
15,Derrota,4575.38,4818.12,90.75,1.12,2.12,6292.25,5320.38,111.62,2.5,2.25,-1716.88,-502.25,-20.88,-269.38,-92.0,-2.75,-269.38,-92.0,-2.75
16,Derrota,5025.75,5267.25,101.0,1.12,2.25,6672.25,5764.25,118.12,2.62,2.38,-1646.5,-497.0,-17.12,70.38,5.25,3.75,70.38,5.25,3.75
17,Derrota,5416.88,5676.62,108.12,1.25,2.5,7176.0,6319.0,126.12,2.88,2.62,-1759.12,-642.38,-18.0,-112.62,-145.38,-0.88,-112.62,-145.38,-0.88
18,Derrota,5778.38,6153.75,116.62,1.25,2.88,7782.12,6779.0,134.75,3.25,2.75,-2003.75,-625.25,-18.12,-244.62,17.12,-0.12,-244.62,17.12,-0.12
19,Derrota,6147.38,6442.5,122.12,1.38,3.38,8423.0,7388.62,142.5,3.88,2.75,-2275.62,-946.12,-20.38,-271.88,-320.88,-2.25,-271.88,-320.88,-2.25
20,Derrota,6518.5,6873.88,127.62,1.5,3.38,8966.25,7869.75,147.0,4.12,3.25,-2447.75,-995.88,-19.38,-172.12,-49.75,1.0,-172.12,-49.75,1.0
21,Derrota,6924.43,7480.86,134.43,1.57,3.57,9116.29,8011.14,149.86,3.71,3.86,-2191.86,-530.29,-15.43,15.14,123.0,0.14,255.89,465.59,3.95
22,Derrota,7628.5,8139.0,144.83,2.0,3.83,9849.17,8631.17,160.67,4.5,4.5,-2220.67,-492.17,-15.83,-101.83,-22.83,-1.0,-28.81,38.12,-0.4
23,Derrota,8197.5,8768.67,153.67,2.33,4.17,10242.83,9059.0,166.83,4.5,4.83,-2045.33,-290.33,-13.17,175.33,201.83,2.67,175.33,201.83,2.67
24,Derrota,8572.83,9250.33,161.83,2.33,4.33,11023.0,9934.83,175.0,5.17,5.0,-2450.17,-684.5,-13.17,-404.83,-394.17,0.0,-404.83,-394.17,0.0
25,Derrota,8931.67,9657.17,169.33,2.33,4.67,11505.83,10445.0,179.17,5.67,5.33,-2574.17,-787.83,-9.83,-124.0,-103.33,3.33,-124.0,-103.33,3.33
26,Derrota,9414.4,10397.0,183.0,2.4,4.6,12071.4,11449.0,192.8,5.8,5.4,-2657.0,-1052.0,-9.8,-217.4,-55.8,-1.4,-82.83,-264.17,0.03
27,Derrota,10004.0,10912.8,192.2,2.8,4.8,12701.2,12059.2,199.8,6.2,5.8,-2697.2,-1146.4,-7.6,-40.2,-94.4,2.2,-40.2,-94.4,2.2
28,Derrota,10554.8,11597.2,202.6,3.0,5.0,13436.0,12474.8,206.6,6.8,6.0,-2881.2,-877.6,-4.0,-184.0,268.8,3.6,-184.0,268.8,3.6
29,Derrota,10999.8,12146.4,213.2,3.0,5.2,13856.0,12873.4,211.2,7.2,6.4,-2856.2,-727.0,2.0,25.0,150.6,6.0,25.0,150.6,6.0
