match_id,champion,result,minute,target_gold,target_xp,target_cs,target_kills,target_deaths,opp_gold,opp_xp,opp_cs,opp_kills,opp_deaths,gold_diff,xp_diff,cs_diff,gold_diff_variation,xp_diff_variation,cs_diff_variation
BR1_3226423634,Smolder,Derrota,0,500,0,0,0,0,500,0,0,0,0,0,0,0,0.0,0.0,0.0
BR1_3226423634,Smolder,Derrota,1,500,0,0,0,0,500,0,0,0,0,0,0,0,0.0,0.0,0.0
BR1_3226423634,Smolder,Derrota,2,727,333,6,0,0,783,402,10,0,0,-56,-69,-4,-56.0,-69.0,-4.0
BR1_3226423634,Smolder,Derrota,3,1097,785,19,0,0,1037,592,16,0,0,60,193,3,116.0,262.0,7.0
BR1_3226423634,Smolder,Derrota,4,1288,986,23,0,0,1444,1036,26,0,0,-156,-50,-3,-216.0,-243.0,-6.0
BR1_3226423634,Smolder,Derrota,5,1552,1329,31,0,0,1674,1280,32,0,0,-122,49,-1,34.0,99.0,2.0
BR1_3226423634,Smolder,Derrota,6,2138,1787,41,1,0,1952,1668,40,0,0,186,119,1,308.0,70.0,2.0
BR1_3226423634,Smolder,Derrota,7,2736,2283,49,2,0,2177,1947,46,0,1,559,336,3,373.0,217.0,2.0
BR1_3226423634,Smolder,Derrota,8,2926,2435,53,2,1,2490,2400,53,0,1,436,35,0,-123.0,-301.0,-3.0
BR1_3226423634,Smolder,Derrota,9,3273,2847,64,2,1,2811,2817,63,0,1,462,30,1,26.0,-5.0,1.0
BR1_3226423634,Smolder,Derrota,10,3395,2887,64,2,2,3836,3385,72,2,1,-441,-498,-8,-903.0,-528.0,-9.0
BR1_3226423634,Smolder,Derrota,11,3695,3323,75,2,2,4020,3597,76,2,1,-325,-274,-1,116.0,224.0,7.0
BR1_3226423634,Smolder,Derrota,12,4001,3566,77,2,3,4323,3936,78,2,2,-322,-370,-1,3.0,-96.0,0.0
BR1_3226423634,Smolder,Derrota,13,4340,3938,87,2,3,4995,4378,90,2,2,-655,-440,-3,-333.0,-70.0,-2.0
BR1_3226423634,Smolder,Derrota,14,4893,4273,94,3,3,5165,4560,93,2,3,-272,-287,1,383.0,153.0,4.0
BR1_3226423634,Smolder,Derrota,15,5401,4565,99,3,4,6691,5384,103,4,3,-1290,-819,-4,-1018.0,-532.0,-5.0
BR1_3226423634,Smolder,Derrota,16,5987,5310,117,3,4,6893,5564,107,4,3,-906,-254,10,384.0,565.0,14.0
BR1_3226423634,Smolder,Derrota,17,6507,5732,122,3,4,7573,6474,126,4,3,-1066,-742,-4,-160.0,-488.0,-14.0
BR1_3226423634,Smolder,Derrota,18,6771,5960,127,3,5,8079,6725,132,4,3,-1308,-765,-5,-242.0,-23.0,-1.0
BR1_3226423634,Smolder,Derrota,19,6894,5960,127,3,6,9385,7871,143,7,3,-2491,-1911,-16,-1183.0,-1146.0,-11.0
BR1_3226423634,Smolder,Derrota,20,7251,6587,138,3,6,9916,8672,155,7,4,-2665,-2085,-17,-174.0,-174.0,-1.0
BR1_3226423634,Smolder,Derrota,21,7648,7252,146,3,6,10038,8833,155,7,4,-2390,-1581,-9,275.0,504.0,8.0
BR1_3226423634,Smolder,Derrota,22,7770,7295,146,3,7,11096,9135,155,9,5,-3326,-1840,-9,-936.0,-259.0,0.0
BR1_3226423634,Smolder,Derrota,23,8212,8054,161,3,7,11414,9807,163,9,5,-3202,-1753,-2,124.0,87.0,7.0
BR1_3226423634,Smolder,Derrota,24,8728,8829,177,3,7,11837,10126,169,9,5,-3109,-1297,8,93.0,456.0,10.0
BR1_3226423634,Smolder,Derrota,25,9261,9424,191,3,7,12504,10922,181,10,5,-3243,-1498,10,-134.0,-201.0,2.0
BR1_3226423634,Smolder,Derrota,26,9684,9985,197,3,8,13215,11513,194,10,5,-3531,-1528,3,-288.0,-30.0,-7.0
BR1_3226423634,Smolder,Derrota,27,10648,10940,210,4,8,13656,11750,194,11,6,-3008,-810,16,523.0,718.0,13.0
BR1_3226423634,Smolder,Derrota,28,11854,11935,223,5,8,14025,12184,202,11,6,-2171,-249,21,837.0,561.0,5.0
BR1_3226423634,Smolder,Derrota,29,12324,12546,237,5,9,15492,13918,217,13,6,-3168,-1372,20,-997.0,-1123.0,-1.0
BR1_3226423634,Smolder,Derrota,30,12565,12703,241,5,9,15713,13995,220,13,7,-3148,-1292,21,20.0,80.0,1.0
BR1_3226423634,Smolder,Derrota,31,13015,13401,250,5,9,16435,15046,220,14,7,-3420,-1645,30,-272.0,-353.0,9.0
BR1_3226423634,Smolder,Derrota,32,13424,13957,263,5,9,17810,17031,235,16,7,-4386,-3074,28,-966.0,-1429.0,-2.0
BR1_3226423634,Smolder,Derrota,33,14106,14322,263,6,9,17882,17107,235,16,8,-3776,-2785,28,610.0,289.0,0.0
BR1_3226790412,Smolder,Derrota,0,500,0,0,0,0,500,0,0,0,0,0,0,0,0.0,0.0,0.0
BR1_3226790412,Smolder,Derrota,1,500,0,0,0,0,500,0,0,0,0,0,0,0,0.0,0.0,0.0
BR1_3226790412,Smolder,Derrota,2,743,362,8,0,0,803,362,11,0,0,-60,0,-3,-60.0,0.0,-3.0
BR1_3226790412,Smolder,Derrota,3,982,876,11,0,0,1110,642,14,0,1,-128,234,-3,-68.0,234.0,0.0
BR1_3226790412,Smolder,Derrota,4,1187,1097,16,0,0,1459,1140,25,0,1,-272,-43,-9,-144.0,-277.0,-6.0
BR1_3226790412,Smolder,Derrota,5,1357,1388,19,0,0,1738,1463,34,0,1,-381,-75,-15,-109.0,-32.0,-6.0
BR1_3226790412,Smolder,Derrota,6,1675,1759,29,0,0,2181,1896,47,0,1,-506,-137,-18,-125.0,-62.0,-3.0
BR1_3226790412,Smolder,Derrota,7,2468,2418,37,1,0,2498,2145,52,0,2,-30,273,-15,476.0,410.0,3.0
BR1_3226790412,Smolder,Derrota,8,2952,2736,41,2,0,3131,2533,63,1,2,-179,203,-22,-149.0,-70.0,-7.0
BR1_3226790412,Smolder,Derrota,9,3279,3127,51,2,0,3497,2944,75,1,2,-218,183,-24,-39.0,-20.0,-2.0
BR1_3226790412,Smolder,Derrota,10,3767,3644,61,2,0,3845,3356,86,1,3,-78,288,-25,140.0,105.0,-1.0
