minute,avg_gold_diff_derrota,avg_gold_diff_vitoria,delta_gold_diff_derrota,delta_gold_diff_vitoria
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,-34.12,-71.75,-34.12,-71.75
3,-97.38,-13.0,-63.25,58.75
4,-194.25,49.25,-96.88,62.25
5,-199.5,67.75,-5.25,18.5
6,-222.88,175.5,-23.38,107.75
7,-202.25,106.75,20.62,-68.75
8,-245.88,211.25,-43.62,104.5
9,-404.0,290.5,-158.12,79.25
10,-573.62,516.75,-169.62,226.25
11,-598.75,556.75,-25.12,40.0
12,-841.5,661.75,-242.75,105.0
13,-1230.12,903.25,-388.62,241.5
14,-1447.5,1006.5,-217.38,103.25
15,-1716.88,1410.75,-269.38,404.25
16,-1646.5,1485.0,70.38,74.25
17,-1759.12,1663.75,-112.62,178.75
18,-2003.75,1638.25,-244.62,-25.5
19,-2275.62,1784.67,-271.88,146.42
20,-2447.75,2038.33,-172.12,253.67
21,-2191.86,2168.0,255.89,129.67
22,-2220.67,2336.0,-28.81,168.0
23,-2045.33,2396.0,175.33,60.0
24,-2450.17,2463.67,-404.83,67.67
25,-2574.17,2222.67,-124.0,-241.0
26,-2657.0,2349.33,-82.83,126.67
27,-2697.2,2711.67,-40.2,362.33
28,-2881.2,2871.67,-184.0,160.0
29,-2856.2,3110.67,25.0,239.0
30,-3065.4,3578.33,-209.2,467.67
31,-3657.75,3478.0,-592.35,-100.33
32,-4210.0,3715.0,-552.25,237.0
33,-2204.0,2360.0,2006.0,-1355.0
34,0.0,3335.0,2204.0,975.0
35,0.0,5210.0,0.0,1875.0
