### League of Legends Match Data: BR1_3243653666
**Target Player Result:** LOST (Played on Red (200) team)
**Game Duration:** 39 minutes and 42 seconds
**Objectives:** Blue Team Dragons: 3 | Red Team Dragons: 2
**Final Gold:** Blue: 86187 | Red: 77662

### Match Timeline (Snapshot every 5 minutes)
*Note: Gold Diff is calculated as (Blue Gold - Red Gold). Positive means Blue is winning, negative means Red is winning.*

| Minute | Gold Diff | Blue Kills | Red Kills |
|---|---|---|---|
| 0 | 0 | 0 | 0 |
| 5 | -401 | 0 | 2 |
| 10 | -483 | 2 | 4 |
| 15 | -909 | 6 | 8 |
| 20 | 701 | 10 | 10 |
| 25 | -1551 | 13 | 20 |
| 30 | 1600 | 18 | 23 |
| 35 | 6977 | 29 | 27 |
| 40 | 8525 | 36 | 34 |
