minute,player,x,y,gold
0,1,603,611,500
0,2,662,285,500
0,3,362,135,500
0,4,130,401,500
0,5,298,675,500
0,6,14103,14195,500
0,7,14426,14170,500
0,8,14321,14673,500
0,9,14589,14454,500
0,10,14055,14493,500
1,1,1119,12143,500
1,2,3324,7706,500
1,3,6933,7162,500
1,4,10482,2685,500
1,5,10754,1879,500
1,6,4292,13368,500
1,7,7187,11165,500
1,8,7806,7560,500
1,9,13471,4249,500
1,10,13427,2224,500
2,1,1369,11342,715
2,2,5209,5582,868
2,3,7282,7600,817
2,4,10846,1657,693
2,5,10752,1624,679
2,6,2536,12413,797
2,7,8175,10172,852
2,8,8260,7706,843
2,9,11884,1906,837
2,10,11842,1587,679
3,1,1294,11664,967
3,2,10446,2906,1284
3,3,7229,7628,1137
3,4,11979,1560,973
3,5,12111,1735,835
3,6,1972,12203,1100
3,7,11125,6433,1284
3,8,8001,8375,1165
3,9,13015,2334,1145
3,10,12289,2874,855
4,1,394,461,1269
4,2,3879,4214,1407
4,3,6940,6802,2027
4,4,12385,1462,1261
4,5,12278,1478,1050
4,6,1984,11831,1469
4,7,6633,6556,1710
4,8,9151,8790,1461
4,9,12824,3093,1801
4,10,13020,3176,1065
5,1,1795,12366,1583
5,2,4668,6000,1797
5,3,7343,7442,2279
5,4,13425,3148,1539
5,5,12973,3086,1221
5,6,2986,13289,1654
5,7,8604,9914,2036
5,8,8144,7415,1759
5,9,13502,4967,2085
5,10,13842,3866,1301
6,1,1648,11718,1899
6,2,9728,6106,2400
6,3,10156,5985,2550
6,4,10049,6053,1824
6,5,10459,6152,1464
6,6,2756,11382,2019
6,7,10305,6324,2344
6,8,10429,6758,2057
6,9,11177,6214,2409
6,10,11264,6294,1526
7,1,2825,13106,2239
7,2,2455,8476,2682
7,3,5976,5695,2919
7,4,13023,2787,2443
7,5,13577,2763,1690
7,6,3882,13484,2278
7,7,6172,12348,2884
7,8,7574,7469,2459
7,9,13298,4084,2750
7,10,13772,3777,1769
8,1,956,4260,2563
8,2,4815,6638,2885
8,3,7070,7584,3228
8,4,4624,958,2710
8,5,2544,2254,1924
8,6,1681,12880,2958
8,7,4802,8836,3514
8,8,12072,12740,2643
8,9,13321,3273,3111
8,10,13453,4745,1959
9,1,2290,12275,3006
9,2,3281,8169,3262
9,3,4640,10222,3734
9,4,10402,1359,2900
9,5,5904,5188,2228
9,6,7746,11745,3160
9,7,8700,10692,3716
9,8,4860,10060,3168
9,9,12050,2118,3524
9,10,12265,2349,2275
10,1,1236,10929,3316
10,2,8213,2500,3675
10,3,7339,6926,4016
10,4,909,526,3231
10,5,11043,2125,2425
10,6,1163,11711,3456
10,7,10535,6139,4229
10,8,8094,7977,3427
10,9,13174,3753,3845
10,10,13057,3782,2505
11,1,1922,11715,3658
11,2,9935,7728,3916
11,3,9774,7272,4240
11,4,12298,2268,3588
11,5,13153,2225,2613
11,6,3365,11583,3706
11,7,9586,7753,4548
11,8,9315,8482,3929
11,9,10758,7584,4069
11,10,13414,3029,2725
12,1,1737,11469,3951
12,2,3416,7807,4163
12,3,6689,8108,4465
12,4,10388,1252,3914
12,5,10556,1303,2810
12,6,1897,12401,4064
12,7,8053,11919,5135
12,8,10198,10041,4512
12,9,12255,2091,4432
12,10,11619,1973,2988
13,1,3469,13223,4528
13,2,5510,13002,5015
13,3,8850,8210,4727
13,4,9877,1251,4236
13,5,10246,1346,3022
13,6,5569,12863,4289
13,7,4924,12667,5551
13,8,14340,14391,5221
13,9,11873,2006,5115
13,10,11820,1788,3202
14,1,1178,11274,4826
14,2,7884,3209,5306
14,3,7052,7087,4994
14,4,10801,1564,4658
14,5,10488,1208,3237
14,6,2456,12558,4680
14,7,12630,6122,6180
14,8,8063,7945,5590
14,9,13467,2732,5556
14,10,14340,14391,3444
15,1,1443,11152,5580
15,2,2635,8152,5595
15,3,6846,6463,5459
15,4,12547,1924,5142
15,5,11749,2215,3474
15,6,2589,12837,4938
15,7,6555,8508,6392
15,8,7475,8023,5971
15,9,12874,2856,5824
15,10,12005,3792,3612
16,1,1865,9628,5823
16,2,2253,9201,6340
16,3,6025,8167,5670
16,4,11457,1800,5588
16,5,9100,1694,4032
16,6,3809,10627,5410
16,7,2068,9754,7349
16,8,3298,11286,6728
16,9,12558,2852,5946
16,10,12362,2431,3908
17,1,2996,12851,6180
17,2,2981,12682,6502
17,3,7624,7864,5992
17,4,12584,1811,6020
17,5,12510,1430,4218
17,6,6698,14014,5983
17,7,9811,5101,7472
17,8,9994,5714,7020
17,9,12423,2701,6245
17,10,12716,2849,4163
18,1,4593,9671,6732
18,2,4550,10080,6689
18,3,6300,9097,6324
18,4,12809,2339,6521
18,5,12640,2501,4445
18,6,4687,13420,6724
18,7,3487,8602,8325
18,8,6244,6827,7476
18,9,13358,2933,6592
18,10,12932,3333,4364
19,1,1506,10953,7102
19,2,12736,2037,7037
19,3,12649,4148,6672
19,4,12240,2400,6876
19,5,10619,1765,4661
19,6,7074,10156,7401
19,7,7990,9484,9006
19,8,7434,7266,8135
19,9,13436,3071,7152
19,10,12988,3043,4716
20,1,8346,8068,7570
20,2,11803,5843,7851
20,3,745,2383,7379
20,4,11863,5647,7535
20,5,11835,5703,4984
20,6,1680,10948,7880
20,7,12402,6050,9775
20,8,11764,5910,9207
20,9,11953,6354,7400
20,10,12949,11097,4870
21,1,6336,1862,7981
21,2,3290,7094,8053
21,3,394,461,7894
21,4,6610,4832,7723
21,5,5512,6376,5216
21,6,12111,8367,8126
21,7,9149,11163,10062
21,8,11853,13002,9651
21,9,7574,7615,7690
21,10,6408,7837,5133
22,1,12751,2955,8518
22,2,7999,3002,8686
22,3,8636,6357,8142
22,4,8668,4563,8000
22,5,8799,4503,5563
22,6,13502,4820,8359
22,7,12032,6672,10879
22,8,9426,8741,10091
22,9,8297,8115,8072
22,10,4468,8290,5286
23,1,8713,5749,9619
23,2,8922,5741,9043
23,3,4594,4554,9344
23,4,8544,5381,8307
23,5,8651,5141,5994
23,6,5896,5214,9304
23,7,5584,5584,11580
23,8,9375,5961,11179
23,9,6227,5007,8698
23,10,7926,5526,5638
24,1,9127,1155,9742
24,2,2523,8205,9400
24,3,4768,6430,9466
24,4,6400,6292,8759
24,5,6146,6434,6170
24,6,3518,13168,9868
24,7,7112,10910,11866
24,8,11787,2233,11351
24,9,13603,13157,9287
24,10,9275,2088,6020
25,1,8465,6230,10128
25,2,8577,5868,9798
25,3,3556,2257,9765
25,4,6989,4889,9143
25,5,6046,5014,6348
25,6,1485,8995,10326
25,7,9579,5847,12782
25,8,8677,6928,11755
25,9,7513,6706,9986
25,10,9049,6725,6285
26,1,748,4751,10275
26,2,7748,4944,9941
26,3,467,482,10091
26,4,5057,5368,9621
26,5,4081,4958,6525
26,6,4394,9300,11254
26,7,6015,8046,13199
26,8,13042,12785,12052
26,9,13046,12349,10376
26,10,13670,12737,6638
27,1,3157,2903,10561
27,2,4887,1616,10326
27,3,6794,1117,10255
27,4,1319,1081,9985
27,5,2901,2183,6701
27,6,7661,1598,11815
27,7,2150,11831,13511
27,8,3923,4421,12209
27,9,3847,3969,10737
27,10,3997,3787,6795
28,1,478,501,10759
